ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
435,,50,0,1,1,5,0,00
436,,50,0,1,2,1,0,00
437,,50,0,1,2,2,0,00
438,,50,0,1,2,5,0,00
439,,50,0,1,5,1,0,00
440,,50,0,1,5,2,0,00
441,,50,0,1,5,5,0,00
442,,50,0,2,1,1,0,00
443,,50,0,2,1,2,0,00
444,,50,0,2,1,5,0,00
445,,50,0,2,2,1,0,00
446,,50,0,2,2,2,0,00
447,,50,0,2,2,5,0,00
448,,50,0,2,5,1,0,00
449,,50,0,2,5,2,0,00
450,,50,0,2,5,5,0,00
451,,50,0,5,1,1,0,00
452,,50,0,5,1,2,0,00
453,,50,0,5,1,5,0,00
454,,50,0,5,2,1,0,00
455,,50,0,5,2,2,0,00
456,,50,0,5,2,5,0,00
457,,50,0,5,5,1,0,00
458,,50,0,5,5,2,0,00
459,,50,0,5,5,5,0,00
460,,50,0,10,1,1,0,00
461,,50,0,10,1,2,0,00
462,,50,0,10,1,5,0,00
463,,50,0,10,2,1,0,00
464,,50,0,10,2,2,0,00
465,,50,0,10,2,5,0,00
466,,50,0,10,5,1,0,00
467,,50,0,10,5,2,0,00
468,,50,0,10,5,5,0,00
469,,50,1,1,1,1,0,00
470,,50,1,1,1,2,0,00
471,,50,1,1,1,5,0,00
472,,50,1,1,2,1,0,00
473,,50,1,1,2,2,0,00
474,,50,1,1,2,5,0,00
475,,50,1,1,5,1,0,00
476,,50,1,1,5,2,0,00
477,,50,1,1,5,5,0,00
478,,50,1,2,1,1,0,00
479,,50,1,2,1,2,0,00
480,,50,1,2,1,5,0,00
481,,50,1,2,2,1,0,00
482,,50,1,2,2,2,0,00
483,,50,1,2,2,5,0,00
484,,50,1,2,5,1,0,00
485,,50,1,2,5,2,0,00
486,,50,1,2,5,5,0,00
487,,50,1,5,1,1,0,00
488,,50,1,5,1,2,0,00
489,,50,1,5,1,5,0,00
490,,50,1,5,2,1,0,00
491,,50,1,5,2,2,0,00
492,,50,1,5,2,5,0,00
493,,50,1,5,5,1,0,00
494,,50,1,5,5,2,0,00
495,,50,1,5,5,5,0,00
496,,50,1,10,1,1,0,00
497,,50,1,10,1,2,0,00
498,,50,1,10,1,5,0,00
499,,50,1,10,2,1,0,00
500,,50,1,10,2,2,0,00
501,,50,1,10,2,5,0,00
502,,50,1,10,5,1,0,00
503,,50,1,10,5,2,0,00
504,,50,1,10,5,5,0,00
505,,50,2,1,1,1,0,00
506,,50,2,1,1,2,0,00
507,,50,2,1,1,5,0,00
508,,50,2,1,2,1,0,00
509,,50,2,1,2,2,0,00
510,,50,2,1,2,5,0,00
511,,50,2,1,5,1,0,00
512,,50,2,1,5,2,0,00
513,,50,2,1,5,5,0,00
514,,50,2,2,1,1,0,00
515,,50,2,2,1,2,0,00
516,,50,2,2,1,5,0,00
517,,50,2,2,2,1,0,00
518,,50,2,2,2,2,0,00
519,,50,2,2,2,5,0,00
520,,50,2,2,5,1,0,00
521,,50,2,2,5,2,0,00
522,,50,2,2,5,5,0,00
523,,50,2,5,1,1,0,00
524,,50,2,5,1,2,0,00
525,,50,2,5,1,5,0,00
526,,50,2,5,2,1,0,00
527,,50,2,5,2,2,0,00
528,,50,2,5,2,5,0,00
529,,50,2,5,5,1,0,00
530,,50,2,5,5,2,0,00
531,,50,2,5,5,5,0,00
532,,50,2,10,1,1,0,00
533,,50,2,10,1,2,0,00
534,,50,2,10,1,5,0,00
535,,50,2,10,2,1,0,00
536,,50,2,10,2,2,0,00
537,,50,2,10,2,5,0,00
538,,50,2,10,5,1,0,00
539,,50,2,10,5,2,0,00
540,,50,2,10,5,5,0,00
541,,50,1000,1,1,1,0,00
542,,50,1000,1,1,2,0,00
543,,50,1000,1,1,5,0,00
544,,50,1000,1,2,1,0,00
545,,50,1000,1,2,2,0,00
546,,50,1000,1,2,5,0,00
547,,50,1000,1,5,1,0,00
548,,50,1000,1,5,2,0,00
549,,50,1000,1,5,5,0,00
550,,50,1000,2,1,1,0,00
551,,50,1000,2,1,2,0,00
552,,50,1000,2,1,5,0,00
553,,50,1000,2,2,1,0,00
554,,50,1000,2,2,2,0,00
555,,50,1000,2,2,5,0,00
556,,50,1000,2,5,1,0,00
557,,50,1000,2,5,2,0,00
558,,50,1000,2,5,5,0,00
559,,50,1000,5,1,1,0,00
560,,50,1000,5,1,2,0,00
561,,50,1000,5,1,5,0,00
562,,50,1000,5,2,1,0,00
563,,50,1000,5,2,2,0,00
564,,50,1000,5,2,5,0,00
565,,50,1000,5,5,1,0,00
566,,50,1000,5,5,2,0,00
567,,50,1000,5,5,5,0,00
568,,50,1000,10,1,1,0,00
569,,50,1000,10,1,2,0,00
570,,50,1000,10,1,5,0,00
571,,50,1000,10,2,1,0,00
572,,50,1000,10,2,2,0,00
573,,50,1000,10,2,5,0,00
574,,50,1000,10,5,1,0,00
575,,50,1000,10,5,2,0,00
576,,50,1000,10,5,5,0,00
577,,50,0,1,1,1,0,00
578,,50,0,1,1,2,0,00
579,,50,0,1,1,5,0,00
580,,50,0,1,2,1,0,00
581,,50,0,1,2,2,0,00
582,,50,0,1,2,5,0,00
583,,50,0,1,5,1,0,00
584,,50,0,1,5,2,0,00
585,,50,0,1,5,5,0,00
586,,50,0,2,1,1,0,00
587,,50,0,2,1,2,0,00
588,,50,0,2,1,5,0,00
589,,50,0,2,2,1,0,00
590,,50,0,2,2,2,0,00
591,,50,0,2,2,5,0,00
592,,50,0,2,5,1,0,00
593,,50,0,2,5,2,0,00
594,,50,0,2,5,5,0,00
595,,50,0,5,1,1,0,00
596,,50,0,5,1,2,0,00
597,,50,0,5,1,5,0,00
598,,50,0,5,2,1,0,00
599,,50,0,5,2,2,0,00
600,,50,0,5,2,5,0,00
601,,50,0,5,5,1,0,00
602,,50,0,5,5,2,0,00
603,,50,0,5,5,5,0,00
604,,50,0,10,1,1,0,00
605,,50,0,10,1,2,0,00
606,,50,0,10,1,5,0,00
607,,50,0,10,2,1,0,00
608,,50,0,10,2,2,0,00
609,,50,0,10,2,5,0,00
610,,50,0,10,5,1,0,00
611,,50,0,10,5,2,0,00
612,,50,0,10,5,5,0,00
613,,50,1,1,1,1,0,00
614,,50,1,1,1,2,0,00
615,,50,1,1,1,5,0,00
616,,50,1,1,2,1,0,00
617,,50,1,1,2,2,0,00
618,,50,1,1,2,5,0,00
619,,50,1,1,5,1,0,00
620,,50,1,1,5,2,0,00
621,,50,1,1,5,5,0,00
622,,50,1,2,1,1,0,00
623,,50,1,2,1,2,0,00
624,,50,1,2,1,5,0,00
625,,50,1,2,2,1,0,00
626,,50,1,2,2,2,0,00
627,,50,1,2,2,5,0,00
628,,50,1,2,5,1,0,00
629,,50,1,2,5,2,0,00
630,,50,1,2,5,5,0,00
631,,50,1,5,1,1,0,00
632,,50,1,5,1,2,0,00
633,,50,1,5,1,5,0,00
634,,50,1,5,2,1,0,00
635,,50,1,5,2,2,0,00
636,,50,1,5,2,5,0,00
637,,50,1,5,5,1,0,00
638,,50,1,5,5,2,0,00
639,,50,1,5,5,5,0,00
640,,50,1,10,1,1,0,00
641,,50,1,10,1,2,0,00
642,,50,1,10,1,5,0,00
643,,50,1,10,2,1,0,00
644,,50,1,10,2,2,0,00
645,,50,1,10,2,5,0,00
646,,50,1,10,5,1,0,00
647,,50,1,10,5,2,0,00
648,,50,1,10,5,5,0,00
649,,50,2,1,1,1,0,00
650,,50,2,1,1,2,0,00
651,,50,2,1,1,5,0,00
652,,50,2,1,2,1,0,00
653,,50,2,1,2,2,0,00
654,,50,2,1,2,5,0,00
655,,50,2,1,5,1,0,00
656,,50,2,1,5,2,0,00
657,,50,2,1,5,5,0,00
658,,50,2,2,1,1,0,00
659,,50,2,2,1,2,0,00
660,,50,2,2,1,5,0,00
661,,50,2,2,2,1,0,00
662,,50,2,2,2,2,0,00
663,,50,2,2,2,5,0,00
664,,50,2,2,5,1,0,00
665,,50,2,2,5,2,0,00
666,,50,2,2,5,5,0,00
667,,50,2,5,1,1,0,00
668,,50,2,5,1,2,0,00
669,,50,2,5,1,5,0,00
670,,50,2,5,2,1,0,00
671,,50,2,5,2,2,0,00
672,,50,2,5,2,5,0,00
673,,50,2,5,5,1,0,00
674,,50,2,5,5,2,0,00
675,,50,2,5,5,5,0,00
676,,50,2,10,1,1,0,00
677,,50,2,10,1,2,0,00
678,,50,2,10,1,5,0,00
679,,50,2,10,2,1,0,00
680,,50,2,10,2,2,0,00
681,,50,2,10,2,5,0,00
682,,50,2,10,5,1,0,00
683,,50,2,10,5,2,0,00
684,,50,2,10,5,5,0,00
685,,50,1000,1,1,1,0,00
686,,50,1000,1,1,2,0,00
687,,50,1000,1,1,5,0,00
688,,50,1000,1,2,1,0,00
689,,50,1000,1,2,2,0,00
690,,50,1000,1,2,5,0,00
691,,50,1000,1,5,1,0,00
692,,50,1000,1,5,2,0,00
693,,50,1000,1,5,5,0,00
694,,50,1000,2,1,1,0,00
695,,50,1000,2,1,2,0,00
696,,50,1000,2,1,5,0,00
697,,50,1000,2,2,1,0,00
698,,50,1000,2,2,2,0,00
699,,50,1000,2,2,5,0,00
700,,50,1000,2,5,1,0,00
